,ZCTA5,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev
0,8240,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
1,8904,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
2,8065,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
3,28443,12.4,28.6,16.8,33.1,8.1,8.8,6.3,6.8,36.7,16.0,10.0,31.1,3.2
4,3103,17.7,23.5,18.6,29.4,6.1,12.1,5.5,7.4,28.3,21.4,9.2,35.7,3.0
5,4042,13.4,26.9,20.5,29.7,7.3,11.3,5.4,7.5,29.8,18.4,8.2,32.7,2.8
6,7090,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
7,1109,17.6,24.5,16.7,33.9,5.1,13.3,6.2,7.2,26.1,21.9,13.1,35.2,4.3
8,18031,8.5,22.9,19.9,26.5,6.5,9.0,4.2,4.7,30.3,15.5,7.2,31.9,2.3
9,19345,7.7,21.5,17.4,21.6,8.0,11.3,4.4,4.6,23.5,7.4,5.4,19.6,2.6
10,24823,16.2,42.5,11.3,45.6,7.4,12.4,10.8,15.4,38.9,34.3,16.7,45.6,4.9
11,18932,7.7,28.8,18.6,32.3,8.2,9.6,5.8,6.4,34.2,16.7,9.4,32.4,3.0
12,8106,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
13,27019,16.4,31.4,15.3,35.5,8.0,9.7,7.7,9.7,37.3,22.5,12.1,35.6,3.9
14,12202,18.3,22.8,16.9,33.7,5.0,13.0,6.0,8.7,27.4,23.8,13.4,41.2,4.3
15,28339,19.5,31.3,13.5,39.2,7.8,10.1,8.0,9.6,34.2,22.2,13.9,38.1,4.7
16,18202,16.4,33.4,17.3,35.9,8.2,10.9,8.9,10.2,36.1,24.0,12.7,33.8,4.6
17,5091,6.7,31.4,14.9,32.1,9.6,9.4,6.8,6.7,34.0,11.9,8.9,26.4,3.4
18,8865,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
19,6390,7.9,26.7,18.0,31.9,8.8,9.2,6.2,7.5,34.3,15.3,9.3,26.3,3.2
20,18403,9.4,30.9,17.6,31.2,8.0,10.0,6.5,7.6,30.4,20.6,9.9,34.1,3.4
21,19007,13.6,27.5,17.7,33.9,6.8,10.8,6.3,7.5,31.7,22.5,11.2,36.5,3.6
