ZCTA,Total Population,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,Total_Population_18plus,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,Employed_16_above,All_death,Heart_death,Income,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%,OSM_healthcare_poi,zip_level_facilities,zip_level_facilities_filtered,county_level_facilities,county_level_facilities_filtered,county_name,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
90001,57110,0.365,0.159,0.16399999999999998,0.268,0.035,0.09300000000000001,0.051,0.054000000000000006,0.257,0.16699999999999998,0.133,0.35200000000000004,0.033,40854,0.3417264927333217,0.18289266328138679,0.15401856067238662,0.03671861320259149,0.75035895639993,275.0,57.0,43360.0,0.507646656,0.492353344,0.068021,0.11892262,0.102716275,0.161150422,0.056836339,0.016434604,0.160465647,0.127368181,0.128509473,0.059575439,12.0,4.0,4.0,6130.0,1247.0,Los Angeles,0.9627911048853092,0.3591139905445631,0.1073892488180704,0.0071791279985991,0.0025389599019436,0.0004727718438101,0.4860970057783225,0.0372088951146909
90002,51223,0.337,0.171,0.16,0.29,0.037000000000000005,0.1,0.052000000000000005,0.06,0.256,0.17600000000000002,0.136,0.36,0.038,36045,0.31960252230443353,0.19046131620561077,0.15619936356714756,0.037424594420475174,0.7447045272631435,252.0,62.0,37285.0,0.516613184,0.483386816,0.042184784,0.127824575,0.17435486,0.121791015,0.050457949,0.041833801,0.105344966,0.166599813,0.110810269,0.058797968,2.0,5.0,5.0,6130.0,1247.0,Los Angeles,0.9621459110165356,0.280967534115534,0.2557640122601175,0.0072428401304101,0.0028893270601097,0.0006442418444839,0.4146379556058802,0.0378540889834644
90003,66266,0.342,0.168,0.161,0.287,0.035,0.099,0.051,0.059000000000000004,0.252,0.18,0.135,0.365,0.037000000000000005,50055,0.32754353665529834,0.2256813448827453,0.1611233513415628,0.04101650922041469,0.7968490628678357,375.0,91.0,40598.0,0.476942704,0.523057296,0.047277776,0.116487186,0.156729579,0.111853214,0.04459495,0.042549998,0.117443998,0.184402086,0.119732843,0.05892837,8.0,4.0,3.0,6130.0,1247.0,Los Angeles,0.9620318111852232,0.2999728367488606,0.2441825370476564,0.0077867986599462,0.0022485135665348,0.00087526031449,0.4069658648477349,0.0379681888147768
90004,62180,0.21600000000000003,0.151,0.162,0.24600000000000002,0.040999999999999995,0.073,0.040999999999999995,0.040999999999999995,0.268,0.126,0.105,0.255,0.025,48931,0.1904470890961724,0.17614988742360888,0.16016403988420713,0.26016403988420717,0.8056609842393052,285.0,63.0,49675.0,0.49009901,0.50990099,0.046263393,0.123314797,0.171504137,0.103078801,0.045937881,0.044391699,0.107134138,0.181201682,0.122663773,0.054509698,3.0,10.0,4.0,6130.0,1247.0,Los Angeles,0.9553232550659376,0.3731907365712448,0.0351720810550016,0.0079929237697008,0.2686394339015761,0.0008845287873914,0.2694435509810228,0.0446767449340624
90005,37681,0.23800000000000002,0.151,0.151,0.259,0.038,0.073,0.045,0.044000000000000004,0.267,0.134,0.115,0.254,0.027999999999999997,32524,0.24163371460417718,0.20084392664738196,0.1647514662562034,0.25591146731774633,0.8815318064807197,193.0,39.0,38491.0,0.49279001,0.50720999,0.028823442,0.061297303,0.198989115,0.135924415,0.067755736,0.029269421,0.072380701,0.182537454,0.132307032,0.090715383,1.0,11.0,3.0,6130.0,1247.0,Los Angeles,0.9553090416920996,0.2906769990180727,0.0532629176508054,0.0084127279000026,0.3381014304291287,0.0010615429526817,0.2637934237414081,0.0446909583079005
90006,59185,0.311,0.162,0.15,0.275,0.037000000000000005,0.081,0.053,0.054000000000000006,0.276,0.156,0.13699999999999998,0.305,0.033,46347,0.30703725606150206,0.1872940778913576,0.14954802737180029,0.13920756948551152,0.8097828841767339,295.0,73.0,37072.0,0.50440451,0.49559549,0.028415383,0.065790798,0.202406121,0.13867915,0.069113057,0.027031108,0.060178194,0.18055975,0.128611698,0.099214739,8.0,20.0,7.0,6130.0,1247.0,Los Angeles,0.9531300160513644,0.3188138886542198,0.0368167610036326,0.0105770043085241,0.184742755765819,0.0007772239587733,0.4014023823603954,0.0468699839486356
90007,40920,0.231,0.126,0.171,0.218,0.027999999999999997,0.092,0.039,0.044000000000000004,0.207,0.136,0.094,0.275,0.025,36428,0.18103616813294232,0.14042033235581622,0.3435483870967742,0.2252199413489736,0.9076001955034213,135.0,30.0,27406.0,0.495065127,0.504934873,0.028350342,0.083087149,0.1944575,0.127114946,0.06205519,0.029693165,0.080921848,0.175137639,0.124865718,0.094316503,4.0,11.0,8.0,6130.0,1247.0,Los Angeles,0.9467497556207234,0.387316715542522,0.111119257086999,0.0066959921798631,0.1543743890518084,0.0010752688172043,0.2861681329423265,0.0532502443792766
90008,32327,0.16399999999999998,0.228,0.141,0.38,0.06,0.099,0.057,0.055999999999999994,0.289,0.131,0.14400000000000002,0.345,0.048,26752,0.12435425495715656,0.15720605066971882,0.31623720110124665,0.22974603272806013,0.8469390911621864,317.0,85.0,43364.0,0.515565715,0.484434285,0.018523319,0.059222775,0.326161242,0.06563288,0.046025499,0.012608112,0.05116301,0.27624726,0.082153041,0.062262861,1.0,11.0,5.0,6130.0,1247.0,Los Angeles,0.9610851610109196,0.0849754075540569,0.6985182664645653,0.0044544807745847,0.02564419834813,0.0009280168280384,0.1465647910415442,0.0389148389890803
90045,39480,0.09300000000000001,0.158,0.195,0.225,0.054000000000000006,0.078,0.035,0.033,0.254,0.086,0.067,0.226,0.021,34192,0.023936170212765957,0.08695542046605877,0.3095997973657548,0.44556737588652484,0.8863981762917933,234.0,68.0,104578.0,0.47170741,0.52829259,0.044457629,0.106865239,0.151865893,0.11377372,0.054744929,0.039560351,0.104894261,0.172520942,0.135012017,0.076305019,4.0,9.0,4.0,6130.0,1247.0,Los Angeles,0.9393110435663627,0.6113475177304964,0.1419706180344478,0.0037487335359675,0.1203394123606889,0.0034194528875379,0.0584853090172239,0.0606889564336372
90010,3800,0.15,0.154,0.132,0.259,0.044000000000000004,0.064,0.043,0.040999999999999995,0.272,0.122,0.102,0.182,0.027000000000000003,3429,0.07263157894736842,0.14578947368421052,0.2513157894736842,0.4326315789473684,0.9207894736842105,26.0,,63112.0,0.438432953,0.561567047,0.013100712,0.066164893,0.135478995,0.131007117,0.092681237,0.021729546,0.056528311,0.161774895,0.166026327,0.155507968,2.0,47.0,6.0,6130.0,1247.0,Los Angeles,0.9760526315789474,0.2326315789473684,0.0439473684210526,0.0021052631578947,0.661578947368421,0.0002631578947368,0.0355263157894736,0.0239473684210526
90011,103892,0.386,0.154,0.16399999999999998,0.264,0.032,0.095,0.05,0.055999999999999994,0.252,0.179,0.132,0.359,0.033,76066,0.3777287952874139,0.17079274631347938,0.14612289685442575,0.037519732029415165,0.7698956608786047,407.0,90.0,40940.0,0.476713762,0.523286238,0.002878074,0.04526426,0.219518577,0.107012036,0.102040816,0.010204082,0.04447933,0.221350078,0.110936682,0.136316065,2.0,18.0,14.0,6130.0,1247.0,Los Angeles,0.9578023331921612,0.3382166095560774,0.0939822122973857,0.0117333384668694,0.0056885996996881,0.0003561390674931,0.5078254341046471,0.0421976668078389
