,ZCTA,All_death,Heart_death
0,95314,0.0,0.0
1,90001,275.0,57.0
2,90002,252.0,62.0
3,90003,375.0,91.0
4,90004,285.0,63.0
5,90005,193.0,39.0
6,90006,295.0,73.0
7,90007,135.0,30.0
8,90008,317.0,85.0
9,90010,26.0,
10,90011,407.0,90.0
11,90012,196.0,48.0
12,90013,143.0,43.0
13,90014,98.0,33.0
14,90015,93.0,22.0
15,90016,323.0,72.0
16,90017,110.0,30.0
17,90018,346.0,98.0
18,90019,393.0,106.0
19,90020,151.0,40.0
20,90021,31.0,
21,90022,377.0,90.0
22,90023,240.0,61.0
23,90024,189.0,54.0
24,90025,220.0,52.0
25,90026,288.0,61.0
26,90027,311.0,90.0
27,90028,195.0,48.0
28,90029,246.0,64.0
29,90031,243.0,62.0
30,90032,276.0,72.0
31,90033,291.0,67.0
32,90034,239.0,64.0
33,90035,196.0,51.0
34,90036,208.0,63.0
35,90037,359.0,96.0
36,90038,124.0,29.0
37,90039,189.0,44.0
38,90040,88.0,23.0
39,90041,192.0,57.0
40,90042,282.0,84.0
41,90043,492.0,163.0
42,90044,621.0,164.0
43,90045,234.0,68.0
44,90046,348.0,100.0
45,90047,480.0,117.0
46,90048,178.0,52.0
47,90049,269.0,65.0
48,90056,91.0,21.0
49,90057,271.0,64.0
50,90058,16.0,
51,90059,240.0,58.0
52,90061,197.0,41.0
53,90062,215.0,60.0
54,90063,274.0,55.0
55,90064,181.0,43.0
56,90065,218.0,52.0
57,90066,365.0,90.0
58,90067,48.0,17.0
59,90068,134.0,37.0
60,90069,146.0,35.0
61,90071,0.0,0.0
62,90073,19.0,
63,90077,72.0,19.0
64,90079,0.0,0.0
65,90089,0.0,0.0
66,90090,0.0,0.0
67,90094,40.0,13.0
68,90201,387.0,92.0
69,90210,191.0,47.0
70,90211,55.0,17.0
71,90212,64.0,19.0
72,90220,351.0,96.0
73,90221,290.0,80.0
74,90222,199.0,38.0
75,90230,214.0,49.0
76,90232,98.0,25.0
77,90240,171.0,51.0
78,90241,256.0,67.0
79,90242,260.0,64.0
80,90245,87.0,24.0
81,90247,363.0,100.0
82,90248,98.0,28.0
83,90249,241.0,59.0
84,90250,525.0,136.0
85,90254,113.0,27.0
86,90255,309.0,71.0
