id,Geographic Area Name,Employed_16_above,zcta
8600000US90001,ZCTA5 90001,42853,90001
8600000US90002,ZCTA5 90002,38146,90002
8600000US90003,ZCTA5 90003,52804,90003
8600000US90004,ZCTA5 90004,50096,90004
8600000US90005,ZCTA5 90005,33217,90005
8600000US90006,ZCTA5 90006,47927,90006
8600000US90007,ZCTA5 90007,37139,90007
8600000US90008,ZCTA5 90008,27379,90008
8600000US90010,ZCTA5 90010,3499,90010
8600000US90011,ZCTA5 90011,79986,90011
8600000US90012,ZCTA5 90012,33927,90012
8600000US90013,ZCTA5 90013,12169,90013
8600000US90014,ZCTA5 90014,8561,90014
8600000US90015,ZCTA5 90015,19127,90015
8600000US90016,ZCTA5 90016,38092,90016
8600000US90017,ZCTA5 90017,22427,90017
8600000US90018,ZCTA5 90018,42672,90018
8600000US90019,ZCTA5 90019,54068,90019
8600000US90020,ZCTA5 90020,32637,90020
8600000US90021,ZCTA5 90021,2657,90021
8600000US90022,ZCTA5 90022,51001,90022
8600000US90023,ZCTA5 90023,34828,90023
8600000US90024,ZCTA5 90024,48076,90024
8600000US90025,ZCTA5 90025,41838,90025
8600000US90026,ZCTA5 90026,58633,90026
8600000US90027,ZCTA5 90027,39923,90027
8600000US90028,ZCTA5 90028,28020,90028
8600000US90029,ZCTA5 90029,31791,90029
8600000US90031,ZCTA5 90031,32395,90031
8600000US90032,ZCTA5 90032,38773,90032
8600000US90033,ZCTA5 90033,36770,90033
8600000US90034,ZCTA5 90034,47250,90034
8600000US90035,ZCTA5 90035,21997,90035
8600000US90036,ZCTA5 90036,32305,90036
8600000US90037,ZCTA5 90037,50660,90037
8600000US90038,ZCTA5 90038,24627,90038
8600000US90039,ZCTA5 90039,25376,90039
8600000US90040,ZCTA5 90040,9810,90040
8600000US90041,ZCTA5 90041,24509,90041
8600000US90042,ZCTA5 90042,52505,90042
8600000US90043,ZCTA5 90043,37968,90043
8600000US90044,ZCTA5 90044,73215,90044
8600000US90045,ZCTA5 90045,34995,90045
8600000US90046,ZCTA5 90046,47364,90046
8600000US90047,ZCTA5 90047,41436,90047
8600000US90048,ZCTA5 90048,19596,90048
8600000US90049,ZCTA5 90049,30689,90049
8600000US90056,ZCTA5 90056,6528,90056
8600000US90057,ZCTA5 90057,40101,90057
8600000US90058,ZCTA5 90058,1696,90058
8600000US90059,ZCTA5 90059,31974,90059
8600000US90061,ZCTA5 90061,21134,90061
8600000US90062,ZCTA5 90062,28589,90062
8600000US90063,ZCTA5 90063,41016,90063
8600000US90064,ZCTA5 90064,21389,90064
8600000US90065,ZCTA5 90065,38073,90065
8600000US90066,ZCTA5 90066,50553,90066
8600000US90067,ZCTA5 90067,2243,90067
8600000US90068,ZCTA5 90068,18913,90068
8600000US90069,ZCTA5 90069,19254,90069
8600000US90071,ZCTA5 90071,126,90071
8600000US90073,ZCTA5 90073,953,90073
8600000US90077,ZCTA5 90077,6681,90077
8600000US90079,ZCTA5 90079,0,90079
8600000US90089,ZCTA5 90089,3786,90089
8600000US90090,ZCTA5 90090,0,90090
8600000US90094,ZCTA5 90094,7662,90094
8600000US90095,ZCTA5 90095,0,90095
8600000US90201,ZCTA5 90201,75479,90201
8600000US90210,ZCTA5 90210,15940,90210
8600000US90211,ZCTA5 90211,6866,90211
8600000US90212,ZCTA5 90212,10854,90212
8600000US90220,ZCTA5 90220,39218,90220
8600000US90221,ZCTA5 90221,38836,90221
8600000US90222,ZCTA5 90222,23764,90222
8600000US90230,ZCTA5 90230,26640,90230
8600000US90232,ZCTA5 90232,12672,90232
8600000US90240,ZCTA5 90240,20522,90240
8600000US90241,ZCTA5 90241,34639,90241
8600000US90242,ZCTA5 90242,33743,90242
8600000US90245,ZCTA5 90245,13050,90245
8600000US90247,ZCTA5 90247,39093,90247
8600000US90248,ZCTA5 90248,9679,90248
8600000US90249,ZCTA5 90249,21780,90249
8600000US90250,ZCTA5 90250,74752,90250
8600000US90254,ZCTA5 90254,16331,90254
8600000US90255,ZCTA5 90255,57280,90255
8600000US90260,ZCTA5 90260,27437,90260
8600000US90262,ZCTA5 90262,52580,90262
8600000US90263,ZCTA5 90263,1838,90263
8600000US90265,ZCTA5 90265,15486,90265
8600000US90266,ZCTA5 90266,27331,90266
8600000US90270,ZCTA5 90270,20330,90270
8600000US90272,ZCTA5 90272,17143,90272
8600000US90274,ZCTA5 90274,20626,90274
8600000US90275,ZCTA5 90275,34811,90275
