,ZCTA,zip_level_facilities,zip_level_facilities_filtered,county_level_facilities,county_level_facilities_filtered
0,89449,1,0.0,39,27.0
1,90001,4,4.0,6130,1247.0
2,90002,5,5.0,6130,1247.0
3,90003,4,3.0,6130,1247.0
4,90004,10,4.0,6130,1247.0
5,90005,11,3.0,6130,1247.0
6,90006,20,7.0,6130,1247.0
7,90007,11,8.0,6130,1247.0
8,90008,11,5.0,6130,1247.0
9,90010,47,6.0,6130,1247.0
10,90011,18,14.0,6130,1247.0
11,90012,10,5.0,6130,1247.0
12,90013,12,11.0,6130,1247.0
13,90014,8,2.0,6130,1247.0
14,90015,17,13.0,6130,1247.0
15,90016,9,5.0,6130,1247.0
16,90017,21,11.0,6130,1247.0
17,90018,9,1.0,6130,1247.0
18,90019,13,3.0,6130,1247.0
19,90020,10,6.0,6130,1247.0
20,90021,6,4.0,6130,1247.0
21,90022,24,19.0,6130,1247.0
22,90023,8,4.0,6130,1247.0
23,90024,6,4.0,6130,1247.0
24,90025,20,6.0,6130,1247.0
25,90026,20,7.0,6130,1247.0
26,90027,22,11.0,6130,1247.0
27,90028,11,6.0,6130,1247.0
28,90029,33,11.0,6130,1247.0
29,90031,4,3.0,6130,1247.0
30,90032,3,2.0,6130,1247.0
31,90033,25,15.0,6130,1247.0
32,90034,9,1.0,6130,1247.0
33,90035,11,4.0,6130,1247.0
34,90036,14,6.0,6130,1247.0
35,90037,9,7.0,6130,1247.0
36,90038,4,2.0,6130,1247.0
37,90039,19,0.0,6130,1247.0
38,90040,6,2.0,6130,1247.0
39,90041,30,6.0,6130,1247.0
40,90042,11,8.0,6130,1247.0
41,90043,9,3.0,6130,1247.0
42,90044,9,6.0,6130,1247.0
43,90045,9,4.0,6130,1247.0
44,90046,9,0.0,6130,1247.0
45,90047,8,7.0,6130,1247.0
46,90048,16,5.0,6130,1247.0
47,90049,3,0.0,6130,1247.0
48,90056,1,1.0,6130,1247.0
49,90057,38,15.0,6130,1247.0
50,90058,1,0.0,6130,1247.0
51,90059,10,5.0,6130,1247.0
52,90061,5,1.0,6130,1247.0
53,90062,3,1.0,6130,1247.0
54,90064,7,1.0,6130,1247.0
55,90065,16,3.0,6130,1247.0
56,90066,8,0.0,6130,1247.0
57,90067,6,5.0,6130,1247.0
58,90068,15,0.0,6130,1247.0
59,90069,4,4.0,6130,1247.0
60,90071,1,0.0,6130,1247.0
61,90077,1,0.0,6130,1247.0
62,90089,1,1.0,6130,1247.0
63,90095,2,1.0,6130,1247.0
64,90201,15,8.0,6130,1247.0
65,90210,24,21.0,6130,1247.0
66,90211,41,28.0,6130,1247.0
67,90212,8,8.0,6130,1247.0
68,90220,7,4.0,6130,1247.0
69,90221,10,9.0,6130,1247.0
70,90222,5,3.0,6130,1247.0
71,90230,22,10.0,6130,1247.0
72,90232,10,4.0,6130,1247.0
73,90240,8,2.0,6130,1247.0
74,90241,16,8.0,6130,1247.0
75,90242,11,4.0,6130,1247.0
76,90245,1,0.0,6130,1247.0
77,90247,18,9.0,6130,1247.0
78,90248,8,1.0,6130,1247.0
79,90249,4,1.0,6130,1247.0
80,90250,21,7.0,6130,1247.0
81,90254,2,1.0,6130,1247.0
82,90255,19,14.0,6130,1247.0
83,90260,8,4.0,6130,1247.0
84,90262,24,17.0,6130,1247.0
85,90265,1,0.0,6130,1247.0
86,90266,6,2.0,6130,1247.0
87,90270,5,2.0,6130,1247.0
88,90272,2,0.0,6130,1247.0
89,90274,2,1.0,6130,1247.0
