lat,lon,name,amenity,addr:street,addr:housenumber,addr:city,addr:postcode,addr:country,id,version,timestamp,changeset,uid,user,shop,building,opening_hours,source,phone,website,brand,brand:wikidata,cuisine,operator,brand:wikipedia,wheelchair,name:en,remaining_tags_json,ZIP,ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,ZCTA,zip_join_type
32.7458135,-116.9304446,Rite Aid,pharmacy,,,,,,876422230,3,2019-03-15T06:33:20Z,68162851,115918,Timothy Smith,,,,,,,Rite Aid,Q3433273,,,en:Rite Aid,,,"{""dispensing"": ""yes"", ""healthcare"": ""pharmacy""}",92022.0,92022.0,El Cajon,CA,Post Office or large volume customer,92020,Spatial join to ZCTA
32.5344366,-117.0466462,Hospital Guadalajara,hospital,,,,,,1168894713,2,2017-07-05T01:43:30Z,50047289,3630353,Vagabundox,,,,,,,,,,,,,,{},92173.0,92173.0,San Ysidro,CA,Zip Code Area,92173,Zip matches ZCTA
32.795532,-117.2544323,CVS Pharmacy,pharmacy,,,,,,1719562521,3,2020-02-18T15:41:59Z,81178622,2888253,mapman44,,,,,,,CVS Pharmacy,Q2078880,,,en:CVS Pharmacy,,,"{""healthcare"": ""pharmacy"", ""short_name"": ""CVS""}",92169.0,92169.0,San Diego,CA,Post Office or large volume customer,92109,Spatial join to ZCTA
32.7496777,-117.1624778,CVS Pharmacy,pharmacy,,,,,,1834875852,3,2019-09-28T22:22:18Z,75049988,1732956,Neebski,,,,Bing,,,CVS Pharmacy,Q2078880,,,en:CVS Pharmacy,,,"{""dispensing"": ""yes"", ""healthcare"": ""pharmacy"", ""short_name"": ""CVS""}",92163.0,92163.0,San Diego,CA,Post Office or large volume customer,92103,Spatial join to ZCTA
32.8190095,-117.1774737,Aria Pharmacy,pharmacy,Balboa Avenue,5923,,,,1884458516,4,2019-06-02T06:19:07Z,70849066,115918,Timothy Smith,,,,,,,,,,,,,,"{""healthcare"": ""pharmacy""}",92177.0,92177.0,San Diego,CA,Post Office or large volume customer,92117,Spatial join to ZCTA
32.8190206,-117.1773744,Extreme Smile Makeover Dentist,dentist,Balboa Avenue,5927,,,,1884458536,4,2019-06-02T06:19:07Z,70849066,115918,Timothy Smith,,,,,,,,,,,,,,"{""healthcare"": ""dentist"", ""note"": ""Dr. A. Shojania""}",92177.0,92177.0,San Diego,CA,Post Office or large volume customer,92117,Spatial join to ZCTA
32.5389865,-116.9963721,Farmacia Roma,pharmacy,,,,,,1900906621,1,2012-09-05T18:33:27Z,12999923,601180,mauricio peregrina,,,,,,,,,,,,,,{},92154.0,92154.0,San Diego,CA,Zip Code Area,92154,Zip matches ZCTA
32.4876592,-117.0901646,Centro de Salud,hospital,Calle Monte Elías,,,,,1924205019,3,2020-04-01T16:36:42Z,82936360,9633773,GhostEye,,,,,,,,,,,,,,{},92153.0,92153.0,San Diego,CA,Post Office or large volume customer,92154,Spatial join to ZCTA
32.7191583,-117.1600238,Hotel Sandford,social_facility,5th Avenue,1301,San Diego,92101,US,1945514828,2,2015-12-02T13:20:04Z,35705960,318696,n76,,,,http://www.sandiegoreader.com/news/2010/nov/02/hotel-sandford-receive-overhaul-san-diego-housing-/,,,,,,San Diego Housing Commission,,,,"{""addr:housename"": ""Hotel Sandford"", ""social_facility"": ""group_home"", ""social_facility:for"": ""senior""}",92187.0,92187.0,San Diego,CA,Post Office or large volume customer,92101,Spatial join to ZCTA
32.5001508,-116.8902076,Hospital La Piedad,hospital,,,,,,1643825448,1,2012-02-23T03:27:28Z,10765099,601395,CatalinaEspinoza,,,,,,,,,,,,,,"{""emergency"": ""yes""}",92143.0,92143.0,San Ysidro,CA,Post Office or large volume customer,92173,Spatial join to ZCTA
32.8539243,-117.2024822,Rite Aid,pharmacy,,,,,,274361347,4,2020-02-18T15:56:21Z,81179122,2888253,mapman44,,,,,8584530631,https://www.riteaid.com/,Rite Aid,Q3433273,,,en:Rite Aid,,,"{""healthcare"": ""pharmacy""}",92122.0,92122.0,San Diego,CA,Zip Code Area,92122,Zip matches ZCTA
