ZCTA,OSM_healthcare_poi
90001,12
90002,2
90003,8
90004,3
90005,1
90006,8
90007,4
90008,1
90010,2
90011,2
90012,3
90013,4
90014,1
90015,6
90016,3
90017,3
90018,3
90019,4
90020,10
90022,7
90023,2
90024,1
90025,3
90026,5
90027,3
90028,8
90029,16
90031,7
90032,3
90033,8
90034,14
90035,5
90036,1
90037,6
90038,1
90039,1
90041,3
90042,3
90043,1
90044,2
90045,4
90048,4
90057,4
90062,2
90063,2
90064,11
90066,2
90067,8
90069,17
90071,2
90073,1
90089,3
90090,1
90094,3
90095,7
90210,5
90211,2
90212,3
90230,3
90232,4
90245,3
90250,1
90254,1
90255,1
90260,4
90263,1
90266,2
90272,1
90274,1
90275,1
90277,3
90278,1
90280,2
90291,1
90292,1
90305,2
90401,7
90402,5
90403,23
90404,25
90405,5
90502,7
90503,5
90505,1
90603,1
90620,3
90621,1
90623,1
90630,5
90631,1
90640,1
90650,1
90660,1
90680,1
90701,1
90703,1
90706,1
90710,1
90712,21
90713,2
90716,1
90717,1
90720,6
90723,3
90731,2
90740,4
90744,2
90745,1
90746,1
90755,2
90802,1
90804,16
90805,1
90806,20
90807,3
90808,5
90813,3
90814,4
90815,18
90822,1
90831,2
91006,3
91007,4
91008,1
91011,2
91016,6
91020,4
91030,6
91040,1
91042,2
91101,3
91103,8
91105,1
91106,2
91201,1
91202,1
91203,2
91204,1
91205,4
91210,2
91214,9
91302,3
91303,5
91306,1
91311,1
91316,3
91320,1
91321,3
91325,1
91326,1
91330,1
91335,2
91340,1
91344,1
91345,1
91350,3
91351,1
91355,10
91356,2
91360,3
91362,2
91387,1
91403,4
91405,5
91406,6
91411,3
91502,2
91504,1
91505,6
91506,1
91601,1
91602,1
91604,2
91605,2
91606,1
91607,1
91608,1
91701,3
91706,3
91709,1
91710,2
91722,5
91730,23
91731,2
91737,2
91739,2
91741,5
91750,3
91754,4
91755,1
91761,5
91762,1
91763,2
91765,8
91766,5
91767,2
91768,4
91770,1
91773,3
91775,4
91776,4
91780,3
91786,8
91790,2
91792,1
91801,12
91803,3
91901,1
91902,2
91911,20
91913,4
91914,1
91917,7
91932,2
91941,1
91942,2
91945,1
91980,2
92004,1
92008,5
92009,2
92011,5
92014,4
92020,7
92024,9
92025,23
92028,1
92037,16
92054,1
92055,1
92056,1
92064,1
92067,2
92069,6
92071,2
92075,4
92078,4
92081,1
92083,5
92084,2
92101,9
92102,2
92103,7
92105,1
92106,1
92107,2
92108,2
92109,5
92110,3
92111,4
92113,2
92115,2
92116,1
92117,11
92120,3
92121,7
92122,4
92123,1
92124,5
92126,3
92127,4
92128,11
92129,3
92132,1
92139,2
92140,2
92154,19
92173,39
92201,3
92203,1
92211,1
92220,1
92223,1
92231,23
92236,1
92240,1
92243,6
92260,3
92274,4
92276,2
92278,1
92284,1
92307,1
92311,4
92313,3
92314,2
92315,2
92316,1
92320,1
92335,1
92336,1
92344,1
92352,1
92354,3
92359,3
92372,1
92373,6
92374,1
92376,1
92392,7
92395,9
92399,4
92404,1
92405,4
92408,2
92410,1
92411,2
92501,3
92503,4
