ZCTA,Total,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%
90001,4381,0.507646656,0.492353344,0.068021,0.11892262,0.102716275,0.161150422,0.056836339,0.016434604,0.160465647,0.127368181,0.128509473,0.059575439
90002,59832,0.516613184,0.483386816,0.042184784,0.127824575,0.17435486,0.121791015,0.050457949,0.041833801,0.105344966,0.166599813,0.110810269,0.058797968
90003,53302,0.476942704,0.523057296,0.047277776,0.116487186,0.156729579,0.111853214,0.04459495,0.042549998,0.117443998,0.184402086,0.119732843,0.05892837
90004,73730,0.49009901,0.50990099,0.046263393,0.123314797,0.171504137,0.103078801,0.045937881,0.044391699,0.107134138,0.181201682,0.122663773,0.054509698
90005,60541,0.49279001,0.50720999,0.028823442,0.061297303,0.198989115,0.135924415,0.067755736,0.029269421,0.072380701,0.182537454,0.132307032,0.090715383
90006,39732,0.50440451,0.49559549,0.028415383,0.065790798,0.202406121,0.13867915,0.069113057,0.027031108,0.060178194,0.18055975,0.128611698,0.099214739
90007,59576,0.495065127,0.504934873,0.028350342,0.083087149,0.1944575,0.127114946,0.06205519,0.029693165,0.080921848,0.175137639,0.124865718,0.094316503
90008,42433,0.515565715,0.484434285,0.018523319,0.059222775,0.326161242,0.06563288,0.046025499,0.012608112,0.05116301,0.27624726,0.082153041,0.062262861
90010,31754,0.438432953,0.561567047,0.013100712,0.066164893,0.135478995,0.131007117,0.092681237,0.021729546,0.056528311,0.161774895,0.166026327,0.155507968
90011,3822,0.476713762,0.523286238,0.002878074,0.04526426,0.219518577,0.107012036,0.102040816,0.010204082,0.04447933,0.221350078,0.110936682,0.136316065
90012,111165,0.505797688,0.494202312,0.043376962,0.1167004,0.178221563,0.12142311,0.046075653,0.039949624,0.11571088,0.168587235,0.117599964,0.052354608
90013,36552,0.61829722,0.38170278,0.015484789,0.033185599,0.339352156,0.15561392,0.074660757,0.013432917,0.02311775,0.163274239,0.073511709,0.108366163
90014,12559,0.634525042,0.365474958,0.009554901,0.007166176,0.254080739,0.241500119,0.122223107,0.007484672,0.008042042,0.160761207,0.107572259,0.081614778
90015,8688,0.599217311,0.400782689,0.002302026,0.003453039,0.255639963,0.188075506,0.149746777,0.006445672,0.002417127,0.198664825,0.07861418,0.114640884
90016,22651,0.508454373,0.491545627,0.033464306,0.059644166,0.24418348,0.123923889,0.047238533,0.019425191,0.064191426,0.241490442,0.106706106,0.059732462
90017,45899,0.499357284,0.500642716,0.030719624,0.074860019,0.182727293,0.131636855,0.079413495,0.018671431,0.071984139,0.155123205,0.145406218,0.109457722
90018,27723,0.537640227,0.462359773,0.037838618,0.080691123,0.24658226,0.11117123,0.061356996,0.026584424,0.06882372,0.199004437,0.105147351,0.062799841
90019,53490,0.483529632,0.516470368,0.031164704,0.087006917,0.174780333,0.122938867,0.067638811,0.028584782,0.083249205,0.174742943,0.131632081,0.098261357
90020,64534,0.492438095,0.507561905,0.031425295,0.052282518,0.186924722,0.139414882,0.082390678,0.032726935,0.062494189,0.164998295,0.141181393,0.106161093
90021,39189,0.489218913,0.510781087,0.037867769,0.058358213,0.202684427,0.122687489,0.067621016,0.024267014,0.0621603,0.206460997,0.139503432,0.078389344
90022,2945,0.615619694,0.384380306,0.00713073,0.076400679,0.209168081,0.250594228,0.072325976,0.020033956,0.00950764,0.208149406,0.097453311,0.049235993
90023,67014,0.492568717,0.507431283,0.038096517,0.099382219,0.169173606,0.117229236,0.06868714,0.031217358,0.102978482,0.165771331,0.122765392,0.08469872
90024,46680,0.507390746,0.492609254,0.039224507,0.113774636,0.175278492,0.117352185,0.061760925,0.032754927,0.09991431,0.161289632,0.120072836,0.078577549
90025,51627,0.444806012,0.555193988,0.011970481,0.023805373,0.293974083,0.049760784,0.065295291,0.015708835,0.029403219,0.364073063,0.064578612,0.081430259
90026,46883,0.513213745,0.486786255,0.02220421,0.042254122,0.276048888,0.100270887,0.072435638,0.018343536,0.034618092,0.224409701,0.11046648,0.098948446
90027,68906,0.509737904,0.490262096,0.02512118,0.059094999,0.226845267,0.138565582,0.060110876,0.027631846,0.053231939,0.204829768,0.113865266,0.090703277
90028,44770,0.485392004,0.514607996,0.024637034,0.040026804,0.200446728,0.132365423,0.087916015,0.019231628,0.034085325,0.214540987,0.13127094,0.115479115
90029,29774,0.538422785,0.461577215,0.010411769,0.025089004,0.26909384,0.15469873,0.079129442,0.011452946,0.020722778,0.223718681,0.112816551,0.092866259
90031,36668,0.503681684,0.496318316,0.022690084,0.048925494,0.208846951,0.139249482,0.083969674,0.020835606,0.056507036,0.193220247,0.120186539,0.105568888
90032,39916,0.488550957,0.511449043,0.024902295,0.079291512,0.181531216,0.129246417,0.073579517,0.029737449,0.081771721,0.158783445,0.129647259,0.111509169
