,ZCTA,zip,county_name
30002,90001,90001,Los Angeles
30003,90002,90002,Los Angeles
30004,90003,90003,Los Angeles
30005,90004,90004,Los Angeles
30006,90005,90005,Los Angeles
30007,90006,90006,Los Angeles
30008,90007,90007,Los Angeles
30009,90008,90008,Los Angeles
30010,90010,90010,Los Angeles
30011,90011,90011,Los Angeles
30012,90012,90012,Los Angeles
30013,90013,90013,Los Angeles
30014,90014,90014,Los Angeles
30015,90015,90015,Los Angeles
30016,90016,90016,Los Angeles
30017,90017,90017,Los Angeles
30018,90018,90018,Los Angeles
30019,90019,90019,Los Angeles
30020,90020,90020,Los Angeles
30021,90021,90021,Los Angeles
30022,90022,90022,Los Angeles
30023,90023,90023,Los Angeles
30024,90024,90024,Los Angeles
30025,90025,90025,Los Angeles
30026,90026,90026,Los Angeles
30027,90027,90027,Los Angeles
30028,90028,90028,Los Angeles
30029,90029,90029,Los Angeles
30030,90031,90031,Los Angeles
30031,90032,90032,Los Angeles
30032,90033,90033,Los Angeles
30033,90034,90034,Los Angeles
30034,90035,90035,Los Angeles
30035,90036,90036,Los Angeles
30036,90037,90037,Los Angeles
30037,90038,90038,Los Angeles
30038,90039,90039,Los Angeles
30039,90040,90040,Los Angeles
30040,90041,90041,Los Angeles
30041,90042,90042,Los Angeles
30042,90043,90043,Los Angeles
30043,90044,90044,Los Angeles
30044,90045,90045,Los Angeles
30045,90046,90046,Los Angeles
30046,90047,90047,Los Angeles
30047,90048,90048,Los Angeles
30048,90049,90049,Los Angeles
30049,90056,90056,Los Angeles
30050,90057,90057,Los Angeles
30051,90058,90058,Los Angeles
30052,90059,90059,Los Angeles
30053,90061,90061,Los Angeles
30054,90062,90062,Los Angeles
30055,90063,90063,Los Angeles
30056,90064,90064,Los Angeles
30057,90065,90065,Los Angeles
30058,90066,90066,Los Angeles
30059,90067,90067,Los Angeles
30060,90068,90068,Los Angeles
30061,90069,90069,Los Angeles
30062,90071,90071,Los Angeles
30063,90073,90073,Los Angeles
30064,90077,90077,Los Angeles
30065,90079,90079,Los Angeles
30066,90089,90089,Los Angeles
30067,90094,90094,Los Angeles
30068,90095,90095,Los Angeles
30069,90201,90201,Los Angeles
30070,90210,90210,Los Angeles
30071,90211,90211,Los Angeles
30072,90212,90212,Los Angeles
30073,90220,90220,Los Angeles
30074,90221,90221,Los Angeles
30075,90222,90222,Los Angeles
30076,90230,90230,Los Angeles
30077,90232,90232,Los Angeles
30078,90240,90240,Los Angeles
30079,90241,90241,Los Angeles
30080,90242,90242,Los Angeles
30081,90245,90245,Los Angeles
30082,90247,90247,Los Angeles
30083,90248,90248,Los Angeles
30084,90249,90249,Los Angeles
30085,90250,90250,Los Angeles
30086,90254,90254,Los Angeles
30087,90255,90255,Los Angeles
30088,90260,90260,Los Angeles
30089,90262,90262,Los Angeles
30090,90263,90263,Los Angeles
30091,90265,90265,Los Angeles
30092,90266,90266,Los Angeles
30093,90270,90270,Los Angeles
30094,90272,90272,Los Angeles
30095,90274,90274,Los Angeles
30096,90275,90275,Los Angeles
30097,90277,90277,Los Angeles
30098,90278,90278,Los Angeles
30099,90280,90280,Los Angeles
30100,90290,90290,Los Angeles
30101,90291,90291,Los Angeles
30102,90292,90292,Los Angeles
30103,90293,90293,Los Angeles
30104,90301,90301,Los Angeles
30105,90302,90302,Los Angeles
30106,90303,90303,Los Angeles
30107,90304,90304,Los Angeles
30108,90305,90305,Los Angeles
30109,90401,90401,Los Angeles
30110,90402,90402,Los Angeles
30111,90403,90403,Los Angeles
30112,90404,90404,Los Angeles
30113,90405,90405,Los Angeles
30114,90501,90501,Los Angeles
30115,90502,90502,Los Angeles
30116,90503,90503,Los Angeles
30117,90504,90504,Los Angeles
30118,90505,90505,Los Angeles
30119,90506,90506,Los Angeles
30120,90601,90601,Los Angeles
30121,90602,90602,Los Angeles
30122,90603,90603,Los Angeles
30123,90604,90604,Los Angeles
30124,90605,90605,Los Angeles
30125,90606,90606,Los Angeles
30126,90620,90620,Orange
30127,90621,90621,Orange
30128,90623,90623,Orange
30129,90630,90630,Orange
30130,90631,90631,Orange
30131,90638,90638,Los Angeles
30132,90640,90640,Los Angeles
30133,90650,90650,Los Angeles
30134,90660,90660,Los Angeles
30135,90670,90670,Los Angeles
30136,90680,90680,Orange
30137,90701,90701,Los Angeles
30138,90703,90703,Los Angeles
30139,90704,90704,Los Angeles
30140,90706,90706,Los Angeles
30141,90710,90710,Los Angeles
30142,90712,90712,Los Angeles
30143,90713,90713,Los Angeles
30144,90715,90715,Los Angeles
30145,90716,90716,Los Angeles
30146,90717,90717,Los Angeles
30147,90720,90720,Orange
30148,90723,90723,Los Angeles
30149,90731,90731,Los Angeles
30150,90732,90732,Los Angeles
30151,90740,90740,Orange
30152,90742,90742,Orange
30153,90743,90743,Orange
30154,90744,90744,Los Angeles
30155,90745,90745,Los Angeles
30156,90746,90746,Los Angeles
30157,90747,90747,Los Angeles
30158,90755,90755,Los Angeles
30159,90802,90802,Los Angeles
30160,90803,90803,Los Angeles
30161,90804,90804,Los Angeles
30162,90805,90805,Los Angeles
30163,90806,90806,Los Angeles
30164,90807,90807,Los Angeles
30165,90808,90808,Los Angeles
30166,90810,90810,Los Angeles
30167,90813,90813,Los Angeles
30168,90814,90814,Los Angeles
30169,90815,90815,Los Angeles
30170,90822,90822,Los Angeles
30171,90831,90831,Los Angeles
30172,91001,91001,Los Angeles
30173,91006,91006,Los Angeles
30174,91007,91007,Los Angeles
30175,91008,91008,Los Angeles
30176,91010,91010,Los Angeles
30177,91011,91011,Los Angeles
30178,91016,91016,Los Angeles
30179,91020,91020,Los Angeles
30180,91024,91024,Los Angeles
30181,91030,91030,Los Angeles
30182,91040,91040,Los Angeles
30183,91042,91042,Los Angeles
30184,91046,91046,Los Angeles
30185,91101,91101,Los Angeles
30186,91103,91103,Los Angeles
30187,91104,91104,Los Angeles
30188,91105,91105,Los Angeles
30189,91106,91106,Los Angeles
30190,91107,91107,Los Angeles
30191,91108,91108,Los Angeles
30192,91201,91201,Los Angeles
30193,91202,91202,Los Angeles
30194,91203,91203,Los Angeles
30195,91204,91204,Los Angeles
30196,91205,91205,Los Angeles
30197,91206,91206,Los Angeles
30198,91207,91207,Los Angeles
30199,91208,91208,Los Angeles
30200,91210,91210,Los Angeles
30201,91214,91214,Los Angeles
30202,91301,91301,Los Angeles
30203,91302,91302,Los Angeles
30204,91303,91303,Los Angeles
30205,91304,91304,Los Angeles
30206,91306,91306,Los Angeles
30207,91307,91307,Los Angeles
30208,91311,91311,Los Angeles
30209,91316,91316,Los Angeles
30210,91320,91320,Ventura
30211,91321,91321,Los Angeles
30212,91324,91324,Los Angeles
30213,91325,91325,Los Angeles
30214,91326,91326,Los Angeles
30215,91330,91330,Los Angeles
30216,91331,91331,Los Angeles
30217,91335,91335,Los Angeles
30218,91340,91340,Los Angeles
30219,91342,91342,Los Angeles
30220,91343,91343,Los Angeles
30221,91344,91344,Los Angeles
30222,91345,91345,Los Angeles
30223,91350,91350,Los Angeles
30224,91351,91351,Los Angeles
30225,91352,91352,Los Angeles
30226,91354,91354,Los Angeles
30227,91355,91355,Los Angeles
30228,91356,91356,Los Angeles
30229,91360,91360,Ventura
30230,91361,91361,Ventura
30231,91362,91362,Ventura
30232,91364,91364,Los Angeles
30233,91367,91367,Los Angeles
30234,91371,91371,Los Angeles
30235,91377,91377,Ventura
30236,91381,91381,Los Angeles
30237,91384,91384,Los Angeles
30238,91387,91387,Los Angeles
30239,91390,91390,Los Angeles
30240,91401,91401,Los Angeles
30241,91402,91402,Los Angeles
30242,91403,91403,Los Angeles
30243,91405,91405,Los Angeles
30244,91406,91406,Los Angeles
30245,91411,91411,Los Angeles
30246,91423,91423,Los Angeles
30247,91436,91436,Los Angeles
30248,91501,91501,Los Angeles
30249,91502,91502,Los Angeles
30250,91504,91504,Los Angeles
30251,91505,91505,Los Angeles
30252,91506,91506,Los Angeles
30253,91601,91601,Los Angeles
30254,91602,91602,Los Angeles
30255,91604,91604,Los Angeles
30256,91605,91605,Los Angeles
30257,91606,91606,Los Angeles
30258,91607,91607,Los Angeles
30259,91608,91608,Los Angeles
30260,91701,91701,San Bernardino
30261,91702,91702,Los Angeles
30262,91706,91706,Los Angeles
30263,91708,91708,San Bernardino
30264,91709,91709,San Bernardino
30265,91710,91710,San Bernardino
30266,91711,91711,Los Angeles
30267,91722,91722,Los Angeles
30268,91723,91723,Los Angeles
30269,91724,91724,Los Angeles
30270,91730,91730,San Bernardino
30271,91731,91731,Los Angeles
30272,91732,91732,Los Angeles
30273,91733,91733,Los Angeles
30274,91737,91737,San Bernardino
30275,91739,91739,San Bernardino
30276,91740,91740,Los Angeles
30277,91741,91741,Los Angeles
30278,91744,91744,Los Angeles
30279,91745,91745,Los Angeles
30280,91746,91746,Los Angeles
30281,91748,91748,Los Angeles
30282,91750,91750,Los Angeles
30283,91752,91752,Riverside
30284,91754,91754,Los Angeles
30285,91755,91755,Los Angeles
30286,91759,91759,San Bernardino
30287,91761,91761,San Bernardino
30288,91762,91762,San Bernardino
30289,91763,91763,San Bernardino
30290,91764,91764,San Bernardino
30291,91765,91765,Los Angeles
30292,91766,91766,Los Angeles
30293,91767,91767,Los Angeles
30294,91768,91768,Los Angeles
30295,91770,91770,Los Angeles
30296,91773,91773,Los Angeles
30297,91775,91775,Los Angeles
30298,91776,91776,Los Angeles
30299,91780,91780,Los Angeles
30300,91784,91784,San Bernardino
30301,91786,91786,San Bernardino
30302,91789,91789,Los Angeles
30303,91790,91790,Los Angeles
30304,91791,91791,Los Angeles
30305,91792,91792,Los Angeles
30306,91801,91801,Los Angeles
30307,91803,91803,Los Angeles
30308,91901,91901,San Diego
30309,91902,91902,San Diego
30310,91905,91905,San Diego
30311,91906,91906,San Diego
30312,91910,91910,San Diego
30313,91911,91911,San Diego
30314,91913,91913,San Diego
30315,91914,91914,San Diego
30316,91915,91915,San Diego
30317,91916,91916,San Diego
30318,91917,91917,San Diego
30319,91931,91931,San Diego
30320,91932,91932,San Diego
30321,91934,91934,San Diego
30322,91935,91935,San Diego
30323,91941,91941,San Diego
30324,91942,91942,San Diego
30325,91945,91945,San Diego
30326,91948,91948,San Diego
30327,91950,91950,San Diego
30328,91962,91962,San Diego
30329,91963,91963,San Diego
30330,91977,91977,San Diego
30331,91978,91978,San Diego
30332,91980,91980,San Diego
30333,92003,92003,San Diego
30334,92004,92004,San Diego
30335,92007,92007,San Diego
30336,92008,92008,San Diego
30337,92009,92009,San Diego
30338,92010,92010,San Diego
